ResourceLoad,Image,Resource/Image/adv_twon.jpg,
ResourceLoad,Image,Resource/Image/adv_shop.jpg,
ResourceLoad,Image,Resource/Image/curen.png,
ResourceLoad,Image,Resource/Image/herler.png,
ResourceLoad,Image,Resource/Image/reira.png,
ResourceLoad,Image,Resource/Image/miia.png,
ResourceLoad,Music,Resource/Music/Adv_1.wav,
PlayBGM,6,110,
MassegeX,100,MassegeY,520,
StringX,50,StringY,470,
BGX,0,BGY,0,BGDraw,0,
大きくも小さくも無いごくごく普通の町。,
そんなラーミアに、世界を支配する魔王を倒さんとする勇者一行が,Break,
訪れるという話が舞い込んできました。,BreakEnd,
一体いつやってくるのかというとなんと2週間後。,
そんな話を聞いた少女クランは勇者達に良い武器を売れば,Break,
お金儲けができると考え、鍛冶屋を始めることにしました...,BreakEnd,
,
CX,450,CY,45,CDraw,2,
CName,クラン,
さーって、2週間後に向けて武器作りはじめるぞー！！,
まさかこんな町に勇者様が来るとはねー,Break,
これは神様が稼げって言ってるに違いない！,BreakEnd,
さて、武器作ると言っても何からすればいいのやら。,
うちの町に鍛冶屋が無いから鍛冶屋やれば稼げると思ったけど,Break,
よく考えたら武器なんて作った事ないんだよなー,BreakEnd,
とりあえず知ってそうな人に聞いてみよう,
CName,,
,
CName,クラン,
あ！ハーラーおじさん！,
CDrawEnd,2,CX,200,CY,45,CDraw,2,CX,600,CY,3,CDraw,3,
CName,ハーラー,
ん？おお、クランじゃねぇか,Break,
どうしたんだ？こんな朝っぱらから,BreakEnd,
CName,クラン,
あのさー、ハーラーおじさんって武器の作り方知ってる？,
CName,ハーラー,
なんだなんだいきなり？冒険者にでもなりてぇのか？,
CName,クラン,
違うよー。今度勇者様が来るでしょ？,Break,
その時に強い武器売れば儲けられるなーって思ってさ,BreakEnd,
CName,ハーラー,
へぇー、なるほどな。,Break,
ってもそんな簡単に強い武器なんか作れるもんじゃねーぞ？,BreakEnd,
CName,クラン,
分かってるけどさーまだ2週間もあるんだから何とかなるんじゃない？,
CName,ハーラー,
どうだかなー,
CName,クラン,
それでそれで武器の作り方知らない？,
CName,ハーラー,
武器の作り方は知らんが、武器を売るならまず店を建てないとな,
CName,クラン,
たしかに！完全に忘れてた！,
まずは物件探しからかー、急に面倒くさくなってきたなー,Break,
しかも店建てた分元取れる気がしない…,BreakEnd,
CName,ハーラー,
ははっ！確かにな！,Break,
だが、店ならいい物件知ってるぞ？,BreakEnd,
CName,クラン,
え？ホント！？,Break,
家賃とか全部タダで立地も良くて綺麗な店！？,BreakEnd,
CName,ハーラー,
んな訳あるか。家賃は安いけどな。,Break,
立地は普通だが綺麗ではない,BreakEnd,
CName,クラン,
えー。でも家賃が安いならそこでいいかなー,
ちなみにいくらぐらいなの？,
CName,ハーラー,
とりあえず今日は200ウォムだな。,Break,
日に日に請求額が増えていくがそこら辺の店を,Break,
借りるよりかは遥かに安いぞ,BreakEnd,
CName,クラン,
うーん、まあ安いならいいかー。,Break,
毎日お金の管理するの大変そうだなー,BreakEnd,
CName,ハーラー,
でもお前が店やるのは2週間だけなんだろ？,
CName,クラン,
そっか！2週間なら私でも大丈夫そう！,
CName,ハーラー,
ははっ！そうか、それじゃあ決まりだな,Break,
店の場所は2番区の道具屋の隣だ,BreakEnd,
CName,クラン,
ハーラーおじさん、ありがと！,
CName,ハーラー,
おう！気を付けてな！,
CDrawEnd,2,CDrawEnd,3,
CName,,
,
BGX,0,BGY,0,BGDraw,1,
～クランの店～,
CX,450,CY,45,CDraw,2,
CName,クラン,
さーって、店に着いたぞー,
思ってたほど汚くなくって良かった,Break,
これなら掃除はすぐ終わりそうだね,BreakEnd,
店を手に入れたら次は武器の作り方かー,Break,
さて、誰に聞いたものか...,BreakEnd,
CName,,
 コンコン,
CName,クラン,
ん？誰だろ？,Break,
はーい,BreakEnd,
CDrawEnd,2,CX,200,CY,45,CDraw,2,CX,600,CY,56,CDraw,4,
CName,,
やっほー、クラン！,
CName,クラン,
わぁ！レイラじゃん！どうしたの？,
CName,レイラ,
いやークランがお店やるって聞いたから,Break,
どんなお店なのかなーって思ってさ,BreakEnd,
ふむふむ...,Break,
まだ何も無いんだね,BreakEnd,
CName,クラン,
そりゃそうだよ、今来てちょっと掃除しただけだもん。,Break,
鍛冶屋なんだけど武器の作り方が全く分かんなくてさー,BreakEnd,
CName,レイラ,
武器の作り方？それならとりあえず,Break,
武器作る為の素材集めしなきゃじゃない？,BreakEnd,
CName,クラン,
素材集めかー、武器作るのに必要な素材って言ったら,Break,
木とか石とかかな？どこら辺で取れるの？,BreakEnd,
CName,レイラ,
まあどこでも取れそうだけど、いっぱい落ちてる場所なら,Break,
いいとこいくつか知ってるから教えてあげるわよ,BreakEnd,
CName,クラン,
ホント？ありがと！,
CName,レイラ,
とりあえず近場の「フィレイス草原」かしら,
CName,クラン,
あーあそこかー、昔よく遊びに行ったよね。,Break,
そういえば色々落ちてた気がするなー,BreakEnd,
CName,レイラ,
他の場所はクランが良い武器作れるように,Break,
なったら教えてあげる,BreakEnd,
CName,クラン,
うん、ありがと！,
CName,レイラ,
それと武器の作り方なら今外から来てる,Break,
商人さんとかに聞いてみたら？,Break,
この町の人は多分誰も分かんないから。,BreakEnd,
CName,クラン,
分かった！ありがとね！,
CName,レイラ,
じゃ、頑張るのよ,
CName,クラン,
じゃあねー,
CDrawEnd,4,
CName,クラン,
よし、レイラが言ってた商人さんに会いに行こっと,
CDrawEnd,2,
CName,,
,
BGX,0,BGY,0,BGDraw,0,
CX,450,CY,45,CDraw,2,
CName,クラン,
あっ、あの人かな？,
CName,クラン,
あのーすみません,
CDrawEnd,2,CX,200,CY,45,CDraw,2,CX,600,CY,8,CDraw,5,
CName,,
ん？どうしたの？,
CName,クラン,
外から来た商人さんですか？,
CName,,
そうだよ、私はミーア。,Break,
ここら辺を回って物を売ってる商人よ。,BreakEnd,
CName,クラン,
あ、私はこの町に住んでるクランって言います。,Break,
よろしくお願いします。,BreakEnd,
CName,ミーア,
クランちゃんか。よろしくね。,Break,
それで？私に何か用があったんじゃないの？,BreakEnd,
CName,クラン,
あ、そうだ忘れてた。,Break,
今度勇者様がこの町に来るって聞いて,Break,
良い武器を作って売ろうと思ってるんです。,BreakEnd,
CName,クラン,
だけど武器の作り方なんて分からないから,Break,
外から来た人なら何か分かるかなって,Break,
思ったんですけど...,BreakEnd,
CName,ミーア,
武器の作り方かー、私はただの商人だから,Break,
詳しくは分からないなー,BreakEnd,
CName,クラン,
そうですか...,
CName,ミーア,
でも、クランちゃんの商売根性には恐れ入った！,
CName,クラン,
へ？,
CName,ミーア,
だって、勇者がやってくるから武器売って,Break,
勇者から金巻き上げるなんて普通考えないよ！,BreakEnd,
CName,クラン,
ははは...,
CName,ミーア,
そんなクランちゃんに素人ながら旅先で鍛冶屋さんに聞いた,Break,
武器の作り方を教えて進ぜよう！,BreakEnd,
CName,クラン,
！！ホントですか！？,
CName,ミーア,
ええ。ただ細かい事は私も分からないから教えられるのは,Break,
基礎の基礎まで。分からない事は自分で考える事！,BreakEnd,
CName,クラン,
はい！,
CName,ミーア,
よーし、じゃあ教えるね。,
CName,ミーア,
武器、特に剣を構成する要素は大きく分けて二つ、,Break,
柄と刀身があるわ。武器を作るにはこの二つを作る,Break,
必要があるわね。,BreakEnd,
CName,ミーア,
柄には使う時には持ちやすい角材の素材を使うと良いわ。,Break,
刀身は木でも石でもなんでも良いけど混ぜるのは,Break,
素材同士が反発し合って良くないわね。,BreakEnd,
CName,ミーア,
素材を加工する順番も考えると良い武器ができるらしいけど,Break,
そこまで詳しくは私も分からないわ。,BreakEnd,
CName,ミーア,
私が教えられるのはこのくらいかな,
CName,クラン,
ありがとうございます！,Break,
「柄を角材で作って、刀身を一種類の素材で作って、,Break,
加工の順番も考える」ですね！,BreakEnd,
CName,クラン,
私、やってみます！,Break,
よーし早速素材集めだ！,BreakEnd,
CName,ミーア,
ふふっ、頑張ってねクランちゃん,
CName,クラン,
はい！行ってきます!,
CDrawEnd,2,CDrawEnd,5,
CName,,
,
こうしてクランの2週間の鍛冶屋生活が始まったのでした。,Break,
果たしてクランは良い武器を作って勇者に売れるのでしょうか。




