ResourceLoad,Image,Resource/Image/adv_shop.jpg,
ResourceLoad,Image,Resource/Image/curen.png,
ResourceLoad,Image,Resource/Image/miia.png,
MassegeX,100,MassegeY,520,
StringX,50,StringY,470,
BGX,0,BGY,0,BGDraw,0,
CX,450,CY,45,CDraw,1,
CName,クラン,
さーって朝だー！,
今日も張り切って採取行きますかー,
CDrawEnd,1,CX,200,CY,45,CDraw,1,CX,600,CY,8,CDraw,2,
CName,ミーア,
クランちゃんいる？,
CName,クラン,
あ！ミーアさん、おはようございます！,
CName,ミーア,
昨日教えた武器の作り方どうだった？,
CName,クラン,
なんか前よりもいいのが作れた気がします！,
CName,ミーア,
そっか、なら良かった。じゃあそろそろ勇者が来た時用に,Break,
そろそろ強い武器づくり始めてももいいんじゃない？,BreakEnd,
CName,クラン,
そっか、もうすぐ勇者様来ちゃうから,Break,
勇者さまようのも作り始めなきゃか,BreakEnd,
CName,ミーア,
今後ももっといい素材手に入るかもしれないから,Break,
最終日にかける方法もあるけどね,BreakEnd,
CName,クラン,
うーん、迷いどころだなー,
ちょっと考えてみます！,Break,
いろいろアドバイスありがとうございました！,BreakEnd,
CName,ミーア,
うん、じゃあ気をつけて行ってきてね,
CName,クラン,
はい、行ってきます！



